MM:DD:YYYY hh:mm:ss, Device_Number, Battery_Voltage, Motor_Turns, Target_Sequence, Mouse_Sequence, Left_Poke_Count, Right_Poke_Count, Pellet_Count, Retrieval_Time
9/24/2019 14:02:49,8,4.29,1448297262,R,,1,0,0,0
9/24/2019 14:04:27,8,4.29,0,R,,1,1,0,0
9/24/2019 14:13:31,8,4.29,0,R,,1,2,1,0
9/24/2019 14:14:18,8,4.29,0,R,,1,3,2,0
9/24/2019 14:16:51,8,4.29,0,R,,1,4,3,0
9/24/2019 14:16:59,8,4.29,0,R,,2,4,4,0
9/24/2019 14:23:30,8,4.29,0,R,,2,5,4,0
9/24/2019 15:12:44,8,4.29,0,R,,2,6,5,0
9/24/2019 15:12:50,8,4.29,0,R,,3,6,6,0
9/24/2019 15:25:04,8,4.29,0,R,,4,6,6,0
9/24/2019 15:26:54,8,4.29,0,R,,4,7,6,0
9/24/2019 15:27:57,8,4.29,0,R,,4,8,7,0
9/24/2019 16:35:12,8,4.29,0,R,,4,9,8,0
9/24/2019 16:35:17,8,4.29,0,R,,4,10,9,0
9/24/2019 16:37:31,8,4.29,0,R,,5,10,10,0
9/24/2019 16:45:44,8,4.29,0,R,,6,10,10,0
9/24/2019 17:26:11,8,4.29,0,R,,6,11,10,0
9/24/2019 17:27:42,8,4.29,0,R,,7,11,11,0
9/24/2019 17:28:24,8,4.29,0,R,,7,12,11,0
9/24/2019 17:28:58,8,4.29,0,R,,7,13,12,0
9/24/2019 17:29:29,8,4.29,0,R,,7,14,13,0
9/24/2019 17:30:19,8,4.29,0,R,,7,15,14,0
9/24/2019 17:48:59,8,4.29,0,R,,7,16,15,0
9/24/2019 18:27:23,8,4.29,0,R,,8,16,16,0
9/24/2019 19:36:26,8,4.29,0,R,,9,16,16,0
9/24/2019 20:03:56,8,4.29,0,R,,9,17,16,0
9/24/2019 20:25:25,8,4.29,0,R,,9,18,17,0
9/24/2019 20:31:25,8,4.29,0,R,,9,19,18,0
9/24/2019 20:31:50,8,4.29,0,R,,10,19,19,0
9/24/2019 20:48:48,8,4.29,0,R,,10,20,19,0
9/24/2019 20:49:13,8,4.29,0,R,,11,20,20,0
9/24/2019 20:51:33,8,4.29,0,R,,11,21,20,0
9/24/2019 20:53:49,8,4.29,0,R,,11,22,21,0
9/24/2019 20:53:58,8,4.29,0,R,,12,22,22,0
9/24/2019 20:54:28,8,4.29,0,R,,13,22,22,0
9/24/2019 20:54:55,8,4.29,0,R,,14,22,22,0
9/24/2019 20:55:33,8,4.29,0,R,,14,23,22,0
9/24/2019 20:55:37,8,4.29,0,R,,14,24,23,0
9/24/2019 20:55:44,8,4.29,0,R,,14,25,24,0
9/24/2019 20:55:49,8,4.29,0,R,,14,26,25,0
9/24/2019 20:55:59,8,4.29,0,R,,14,27,26,0
9/24/2019 20:58:00,8,4.29,0,R,,14,28,27,0
9/24/2019 21:02:40,8,4.29,0,R,,15,28,28,0
9/24/2019 21:05:48,8,4.29,0,R,,16,28,28,0
9/24/2019 21:06:48,8,4.29,0,R,,16,29,28,0
9/24/2019 21:06:58,8,4.29,0,R,,16,30,29,0
9/24/2019 21:08:04,8,4.29,0,R,,17,30,30,0
9/24/2019 21:08:22,8,4.29,0,R,,17,31,30,0
9/24/2019 21:10:30,8,4.29,0,R,,17,32,31,0
9/24/2019 21:11:10,8,4.29,0,R,,17,33,32,0
9/24/2019 21:12:00,8,4.29,0,R,,17,34,33,0
9/24/2019 21:12:08,8,4.29,0,R,,17,35,34,0
9/24/2019 21:12:37,8,4.29,0,R,,17,36,35,0
9/24/2019 21:12:53,8,4.29,0,R,,17,37,36,0
9/24/2019 21:20:38,8,4.29,0,R,,18,37,37,0
9/24/2019 21:23:37,8,4.29,0,R,,18,38,37,0
9/24/2019 21:23:43,8,4.29,0,R,,18,39,38,0
9/24/2019 21:24:07,8,4.29,0,R,,19,39,39,0
9/24/2019 21:24:17,8,4.29,0,R,,19,40,39,0
9/24/2019 21:24:29,8,4.29,0,R,,19,41,40,0
9/24/2019 21:24:37,8,4.29,0,R,,20,41,41,0
9/24/2019 21:25:08,8,4.29,0,R,,20,42,41,0
9/24/2019 21:27:50,8,4.29,0,R,,20,43,42,0
9/24/2019 21:29:04,8,4.29,0,R,,20,44,43,0
9/24/2019 21:31:06,8,4.29,0,R,,20,45,44,0
9/24/2019 21:34:20,8,4.29,0,R,,20,46,45,0
9/24/2019 21:35:10,8,4.29,0,R,,21,46,46,0
9/24/2019 21:35:26,8,4.29,0,R,,21,47,46,0
9/24/2019 21:36:44,8,4.29,0,R,,21,48,47,0
9/24/2019 21:37:01,8,4.29,0,R,,21,49,48,0
9/24/2019 21:39:14,8,4.29,0,R,,21,50,49,0
9/24/2019 21:39:36,8,4.29,0,R,,22,50,50,0
9/24/2019 21:39:46,8,4.29,0,R,,22,51,50,0
9/24/2019 21:40:05,8,4.29,0,R,,23,51,51,0
